Polynomial with Complex Roots_0_0,x**3 + 2*x**2 + x,tensor(0.2444),-8.554996892948866
Polynomial with Complex Roots_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aaa60>>
Polynomial with Complex Roots_2_0,x**2*(x + 1),tensor(0.2298),-10.227176120274823
Polynomial with Complex Roots_2_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aa640>>
Polynomial with Complex Roots_2_2,x**2 + 1,tensor(0.2624),-6.903161171973299
Polynomial with Complex Roots_2_3,2*cosh(x),tensor(0.3096),-3.974957138543748
Polynomial with Complex Roots_2_4,2*x - sin(x),tensor(0.2200),-11.56560171959293
Polynomial with Complex Roots_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267a60>>
Polynomial with Complex Roots_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b72b0>>
Polynomial with Complex Roots_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7070>>
Polynomial with Complex Roots_2_8,4*exp(x),tensor(0.5268),0.19337359841776947
Polynomial with Complex Roots_2_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1caa30>>
Polynomial with Complex Roots_2_10,8*x**3/3,tensor(0.2207),-11.471251696219143
Polynomial with Complex Roots_2_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1eecd0>>
Polynomial with Complex Roots_2_12,3,tensor(0.),0
Polynomial with Complex Roots_2_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395a60>>
Polynomial with Complex Roots_2_14,3*x/2,tensor(0.2207),-11.46841812084431
Polynomial with Complex Roots_2_15,3*x + 1,tensor(0.2551),-7.525470038244363
Polynomial with Complex Roots_2_16,x*(x + 20),tensor(0.1222),-50.590096199685206
Polynomial with Complex Roots_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1baf10>>
Polynomial with Complex Roots_2_18,5*x**2/8,tensor(0.2234),-11.090416662075564
Polynomial with Complex Roots_2_19,-4*x**2/3,tensor(0.2036),-14.304626062232744
Polynomial with Complex Roots_2_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc051790>>
Polynomial with Complex Roots_2_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1c68e0>>
Polynomial with Complex Roots_2_22,x**2*(x**2 + 4*x) + x,tensor(0.2264),-10.680734299883705
Polynomial with Complex Roots_2_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099dc0>>
Polynomial with Complex Roots_2_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099580>>
Polynomial with Complex Roots_2_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099fa0>>
Polynomial with Complex Roots_2_26,6*x + 1/3,tensor(0.2184),-11.809497685334014
Polynomial with Complex Roots_2_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407ee20>>
Polynomial with Complex Roots_2_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407ea60>>
Polynomial with Complex Roots_2_29,x + exp(x + 5),tensor(0.0084),-14063.696148197894
Polynomial with Complex Roots_2_30,-3*x**2,tensor(0.1886),-17.51335206972762
Polynomial with Complex Roots_2_31,6*x**2,tensor(0.2840),-5.3558466273506085
Polynomial with Complex Roots_2_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407e1f0>>
Polynomial with Complex Roots_2_33,2*x - cos(x),tensor(0.1989),-15.225859629991916
Polynomial with Complex Roots_2_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407e670>>
Polynomial with Complex Roots_2_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06a100>>
Polynomial with Complex Roots_2_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0995e0>>
Polynomial with Complex Roots_2_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099670>>
Polynomial with Complex Roots_2_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099100>>
Polynomial with Complex Roots_2_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099790>>
Polynomial with Complex Roots_2_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0a52e0>>
Polynomial with Complex Roots_2_41,(x**2 + x)**2,tensor(0.2386),-9.178136799955588
Polynomial with Complex Roots_2_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aaf40>>
Polynomial with Complex Roots_2_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aa670>>
Polynomial with Complex Roots_2_44,x*cos(5),tensor(0.2178),-11.89603267148652
Polynomial with Complex Roots_2_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aad30>>
Polynomial with Complex Roots_2_46,38/x,tensor(0.0016),-376560.29876092303
Polynomial with Complex Roots_2_47,x*(2*x + log(x)),tensor(0.),0
Polynomial with Complex Roots_2_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aa370>>
Polynomial with Complex Roots_2_49,1/(2*x + 2),tensor(0.2073),-13.616938848346836
Polynomial with Complex Roots_2_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aa760>>
Polynomial with Complex Roots_2_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0a5670>>
Polynomial with Complex Roots_2_52,x*(x + 4)*(x**2 + x),tensor(0.2761),-5.874587776068876
Polynomial with Complex Roots_2_53,x*cos(x + 5),tensor(0.2268),-10.626668800597912
Polynomial with Complex Roots_2_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099220>>
Polynomial with Complex Roots_2_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407e790>>
Polynomial with Complex Roots_2_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0510a0>>
Polynomial with Complex Roots_2_57,4*x + 5*exp(x),tensor(0.2865),-5.200173604423802
Polynomial with Complex Roots_2_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c39f820>>
Polynomial with Complex Roots_2_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074700>>
Polynomial with Complex Roots_2_60,166*x**2,tensor(0.0224),-1907.1980157603068
Polynomial with Complex Roots_2_61,4*cos(3*x)/3,tensor(0.2134),-12.590372394225033
Polynomial with Complex Roots_2_62,7*x**4/8,tensor(0.2224),-11.21856956438744
Polynomial with Complex Roots_2_63,x*(x**2 + 5*x),tensor(0.2781),-5.738951141959789
Polynomial with Complex Roots_2_64,(x - tan(x))**2,tensor(0.2179),-11.880925703400884
Polynomial with Complex Roots_2_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165e20>>
Polynomial with Complex Roots_2_66,x*(2*x + cos(x)),tensor(0.2418),-8.837068038675687
Polynomial with Complex Roots_2_67,5*sinh(x),tensor(0.2122),-12.781340856844995
Polynomial with Complex Roots_2_68,(x + 4)**2,tensor(0.1283),-45.16116519545349
Polynomial with Complex Roots_2_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7c70>>
Polynomial with Complex Roots_2_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7250>>
Polynomial with Complex Roots_2_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7520>>
Polynomial with Complex Roots_2_72,x + 2,tensor(0.2984),-4.528536012922711
Polynomial with Complex Roots_2_73,20*x**3,tensor(0.1590),-26.984062298199206
Polynomial with Complex Roots_2_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aa5e0>>
Polynomial with Complex Roots_2_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aab80>>
Polynomial with Complex Roots_2_76,sin(2*x),tensor(0.2202),-11.535501050674831
Polynomial with Complex Roots_2_77,8*x**2,tensor(0.3013),-4.377383750631936
Polynomial with Complex Roots_2_78,3*(x + 1)*exp(x),tensor(0.3465),-2.5575011180698795
Polynomial with Complex Roots_2_79,x*(log(x) + cos(x)),tensor(0.),0
Polynomial with Complex Roots_2_80,6*x + 8,tensor(0.3454),-2.5930096970552983
Polynomial with Complex Roots_2_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9310>>
Polynomial with Complex Roots_2_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10a580>>
Polynomial with Complex Roots_2_83,5*exp(x),tensor(0.4858),-0.12046460101418188
Polynomial with Complex Roots_2_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074d30>>
Polynomial with Complex Roots_2_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9c10>>
Polynomial with Complex Roots_2_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9df0>>
Polynomial with Complex Roots_2_87,x**5*tan(1),tensor(0.2190),-11.717712353125425
Polynomial with Complex Roots_2_88,5/x**2,tensor(5.0795e-05),-387541653.3314446
Polynomial with Complex Roots_2_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7100>>
Polynomial with Complex Roots_2_90,2*x/tan(1),tensor(0.2204),-11.516277795436082
Polynomial with Complex Roots_2_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7400>>
Polynomial with Complex Roots_2_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099880>>
Polynomial with Complex Roots_2_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0997f0>>
Polynomial with Complex Roots_2_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099610>>
Polynomial with Complex Roots_2_95,10*log(x),tensor(0.),0
Polynomial with Complex Roots_2_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aad00>>
Polynomial with Complex Roots_2_97,2*x*log(2),tensor(0.2205),-11.492127598028436
Polynomial with Complex Roots_2_98,x + cos(x) + 1,tensor(0.2889),-5.056303854407467
Polynomial with Complex Roots_2_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1b0c10>>
Polynomial with Complex Roots_2_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1b0190>>
Polynomial with Complex Roots_2_101,2*x**2 + 2,tensor(0.3282),-3.190880917756436
Polynomial with Complex Roots_2_102,exp(3*x/2),tensor(0.2756),-5.910627849112616
Polynomial with Complex Roots_2_103,-x*log(x) + 2*x,tensor(0.),0
Polynomial with Complex Roots_2_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e69a0>>
Polynomial with Complex Roots_2_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e6520>>
Polynomial with Complex Roots_2_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e6df0>>
Polynomial with Complex Roots_2_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1b0730>>
Polynomial with Complex Roots_2_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1b0490>>
Polynomial with Complex Roots_2_109,x*(x**2 + x + 2),tensor(0.2327),-9.87492520964322
Polynomial with Complex Roots_2_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06a910>>
Polynomial with Complex Roots_2_111,1,tensor(0.),0
Polynomial with Complex Roots_2_112,2*x + 4,tensor(0.4725),-0.24611803321900028
Polynomial with Complex Roots_2_113,x*(6*x + 4),tensor(0.2920),-4.87682062159178
Polynomial with Complex Roots_2_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407e5e0>>
Polynomial with Complex Roots_2_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407e190>>
Polynomial with Complex Roots_2_116,sqrt(x) + x**5,tensor(0.),0
Polynomial with Complex Roots_2_117,x/2,tensor(0.2185),-11.791911990214167
Polynomial with Complex Roots_2_118,sin(x) - cos(x),tensor(0.1978),-15.44317099293552
Polynomial with Complex Roots_2_119,2*x*exp(3*x)/3,tensor(0.2677),-6.481276488963673
Polynomial with Complex Roots_2_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7d00>>
Polynomial with Complex Roots_2_121,(x + 2)**3,tensor(0.1830),-18.943587059380167
Polynomial with Complex Roots_2_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1ca5b0>>
Polynomial with Complex Roots_2_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9100>>
Polynomial with Complex Roots_2_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0d5400>>
Polynomial with Complex Roots_2_125,x**2*(x**2 + x),tensor(0.2255),-10.79028231747828
Polynomial with Complex Roots_2_126,x**2 + x + 10,tensor(0.2529),-7.727344131647614
Polynomial with Complex Roots_2_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7bb0>>
Polynomial with Complex Roots_3_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0744f0>>
Polynomial with Complex Roots_3_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1ca970>>
Polynomial with Complex Roots_3_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c39f310>>
Polynomial with Complex Roots_3_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c148520>>
Polynomial with Complex Roots_3_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c591100>>
Polynomial with Complex Roots_3_5,x*(-x + 1/x),tensor(0.2354),-9.555880281364932
Polynomial with Complex Roots_3_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e6d00>>
Polynomial with Complex Roots_3_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c296bb0>>
Polynomial with Complex Roots_3_8,2*x**2 + 2*x,tensor(0.2449),-8.508498297802731
Polynomial with Complex Roots_3_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c296220>>
Polynomial with Complex Roots_3_10,x**2 + x - 1,tensor(0.2026),-14.496016599294402
Polynomial with Complex Roots_3_11,2*x + 14,tensor(0.1625),-25.54764876570998
Polynomial with Complex Roots_3_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1d5c10>>
Polynomial with Complex Roots_3_13,exp(x + 3),tensor(0.0713),-168.64581864917326
Polynomial with Complex Roots_3_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c296a00>>
Polynomial with Complex Roots_3_15,2*x*tan(5),tensor(0.1728),-21.922387930604717
Polynomial with Complex Roots_3_16,exp(2*x),tensor(0.2956),-4.678415860569422
Polynomial with Complex Roots_3_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08dc40>>
Polynomial with Complex Roots_3_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1ba9a0>>
Polynomial with Complex Roots_3_19,x*(2*x + 2),tensor(0.2449),-8.508498297802731
Polynomial with Complex Roots_3_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1379d0>>
Polynomial with Complex Roots_3_21,4*x + 1,tensor(0.2517),-7.835809408612155
Polynomial with Complex Roots_3_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7c10>>
Polynomial with Complex Roots_3_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7940>>
Polynomial with Complex Roots_3_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06aa90>>
Polynomial with Complex Roots_3_25,x**2*sin(3),tensor(0.2183),-11.828724708551304
Polynomial with Complex Roots_3_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407ebe0>>
Polynomial with Complex Roots_3_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407eca0>>
Polynomial with Complex Roots_3_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0997c0>>
Polynomial with Complex Roots_3_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099370>>
Polynomial with Complex Roots_3_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c099b20>>
