Square Root with Quadratic Term_0_0,x + tan(x),tensor(0.0754),-149.42550353068413
Square Root with Quadratic Term_2_4,-4*x,tensor(0.0662),-198.28065844963166
Square Root with Quadratic Term_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e010fac0>>
Square Root with Quadratic Term_2_6,x*sin(tan(x + 3)),tensor(0.0935),-92.9372372288348
Square Root with Quadratic Term_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ecdc0>>
Square Root with Quadratic Term_2_8,-exp(-x),tensor(0.0594),-249.9777407578887
Square Root with Quadratic Term_2_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2ca9220>>
Square Root with Quadratic Term_2_10,x*cosh(2),tensor(0.0659),-200.17174201492156
Square Root with Quadratic Term_2_11,2*x**3/3,tensor(0.0836),-119.06956131510485
Square Root with Quadratic Term_2_12,acos(x)**3,tensor(0.0329),-865.6509356177407
Square Root with Quadratic Term_2_13,x*exp(2*x),tensor(0.0870),-109.0030076368101
Square Root with Quadratic Term_2_14,x*(x + 1) + x,tensor(0.0841),-117.59479819082334
Square Root with Quadratic Term_2_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8c70>>
Square Root with Quadratic Term_2_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c84c0>>
Square Root with Quadratic Term_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8f10>>
Square Root with Quadratic Term_2_18,6*x**2 - 3*x,tensor(0.0821),-124.13068472638344
Square Root with Quadratic Term_2_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a393d0>>
Square Root with Quadratic Term_2_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a39bb0>>
Square Root with Quadratic Term_2_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a39ac0>>
Square Root with Quadratic Term_2_22,1/(x + 3),tensor(0.0952),-89.33188006399831
Square Root with Quadratic Term_2_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980764c0>>
Square Root with Quadratic Term_2_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558f10>>
Square Root with Quadratic Term_2_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558850>>
Square Root with Quadratic Term_2_26,-x - 1/2,tensor(0.0714),-168.22212044933127
Square Root with Quadratic Term_2_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981a8d00>>
Square Root with Quadratic Term_2_28,asin(x + 1),tensor(0.),0
Square Root with Quadratic Term_2_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc17e790>>
Square Root with Quadratic Term_2_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981a8910>>
Square Root with Quadratic Term_2_31,-6*x**2 + x,tensor(0.0471),-407.79333138259483
Square Root with Quadratic Term_2_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25589d0>>
Square Root with Quadratic Term_2_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558100>>
Square Root with Quadratic Term_2_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558820>>
Square Root with Quadratic Term_2_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1209d0>>
Square Root with Quadratic Term_2_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120a00>>
Square Root with Quadratic Term_2_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120250>>
Square Root with Quadratic Term_2_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120730>>
Square Root with Quadratic Term_2_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120d60>>
Square Root with Quadratic Term_2_40,x*(-x**3 + x),tensor(0.0880),-106.4728321085761
Square Root with Quadratic Term_2_41,1/3,tensor(0.),0
Square Root with Quadratic Term_2_42,x*(2*x + 3),tensor(0.0811),-127.48194937794281
Square Root with Quadratic Term_2_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815baf0>>
Square Root with Quadratic Term_2_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558bb0>>
Square Root with Quadratic Term_2_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc17e970>>
Square Root with Quadratic Term_2_46,x**7/7,tensor(0.0841),-117.48499377215609
Square Root with Quadratic Term_2_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120fd0>>
Square Root with Quadratic Term_2_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930088fd0>>
Square Root with Quadratic Term_2_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930088eb0>>
Square Root with Quadratic Term_2_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930088100>>
Square Root with Quadratic Term_2_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930088040>>
Square Root with Quadratic Term_2_52,x + tan(2*x),tensor(0.0008),-1450623.7400999062
Square Root with Quadratic Term_2_53,x*atanh(x)/2,tensor(0.0905),-100.05259115227382
Square Root with Quadratic Term_2_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8310>>
Square Root with Quadratic Term_2_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c85e0>>
Square Root with Quadratic Term_2_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8910>>
Square Root with Quadratic Term_2_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8d00>>
Square Root with Quadratic Term_2_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4fd0>>
Square Root with Quadratic Term_2_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4580>>
Square Root with Quadratic Term_2_60,x**2*(3*x + 4),tensor(0.0989),-82.09655678454327
Square Root with Quadratic Term_2_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1600a0>>
Square Root with Quadratic Term_2_62,5*x**2/2,tensor(0.1060),-70.07110881977985
Square Root with Quadratic Term_2_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68fb20>>
Square Root with Quadratic Term_2_64,x + atanh(x) + 11,tensor(0.0291),-1115.2750485199883
Square Root with Quadratic Term_2_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8106a90>>
Square Root with Quadratic Term_2_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981a87f0>>
Square Root with Quadratic Term_2_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998076dc0>>
Square Root with Quadratic Term_2_68,5*x + log(x),tensor(0.),0
Square Root with Quadratic Term_2_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990171160>>
Square Root with Quadratic Term_2_70,-5*sinh(x),tensor(0.0568),-274.9862165930813
Square Root with Quadratic Term_2_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990171a90>>
Square Root with Quadratic Term_2_72,2*exp(x),tensor(0.1473),-32.52475463952724
Square Root with Quadratic Term_2_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ec220>>
Square Root with Quadratic Term_2_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ec430>>
Square Root with Quadratic Term_2_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a39190>>
Square Root with Quadratic Term_2_76,exp(x + 5),tensor(0.0013),-608795.4047246908
Square Root with Quadratic Term_2_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990171c70>>
Square Root with Quadratic Term_2_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a39640>>
Square Root with Quadratic Term_2_79,x**6 + x + sin(x),tensor(0.0804),-129.87483074967744
Square Root with Quadratic Term_2_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ff3a0>>
Square Root with Quadratic Term_2_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ff4c0>>
Square Root with Quadratic Term_2_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ff0d0>>
Square Root with Quadratic Term_2_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ff880>>
Square Root with Quadratic Term_2_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ffdc0>>
Square Root with Quadratic Term_2_85,log(x + 1),tensor(0.0730),-160.11120807779741
Square Root with Quadratic Term_2_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc05ae20>>
Square Root with Quadratic Term_2_87,12*x**2 + x,tensor(0.0576),-266.9234819613335
Square Root with Quadratic Term_2_88,-x**2/6 + x,tensor(0.0806),-129.0557178930354
Square Root with Quadratic Term_2_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00f2be0>>
Square Root with Quadratic Term_2_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63ab80>>
Square Root with Quadratic Term_2_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63a370>>
Square Root with Quadratic Term_2_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63abb0>>
Square Root with Quadratic Term_2_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63aca0>>
Square Root with Quadratic Term_2_94,tan(x + 5),tensor(0.0014),-529950.6707507394
Square Root with Quadratic Term_2_95,4*x*acos(x),tensor(0.0405),-558.9432859133395
Square Root with Quadratic Term_2_96,x + cos(x/2),tensor(0.1176),-55.29775838731803
Square Root with Quadratic Term_2_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63a850>>
Square Root with Quadratic Term_2_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63ad30>>
Square Root with Quadratic Term_2_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63ad00>>
Square Root with Quadratic Term_2_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63adf0>>
Square Root with Quadratic Term_2_101,(x + 1)**3,tensor(0.0915),-97.61988040285244
Square Root with Quadratic Term_2_102,2/3,tensor(0.),0
Square Root with Quadratic Term_2_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ec970>>
Square Root with Quadratic Term_2_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ec5e0>>
Square Root with Quadratic Term_2_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ec520>>
Square Root with Quadratic Term_2_106,2*x*cos(x) - 2*sin(x),tensor(0.0841),-117.69365627611597
Square Root with Quadratic Term_2_107,(1 - x)/x**3,tensor(1.3299e-07),-56540479522002.23
Square Root with Quadratic Term_2_108,16*exp(x),tensor(0.0130),-5777.884880900743
Square Root with Quadratic Term_2_109,-5*x**4/4,tensor(0.0777),-139.9533052550601
Square Root with Quadratic Term_2_110,2*sin(x),tensor(0.0782),-137.93816959685637
Square Root with Quadratic Term_2_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e010f730>>
Square Root with Quadratic Term_2_112,5*atanh(x),tensor(0.0452),-445.7288647141112
Square Root with Quadratic Term_2_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815b700>>
Square Root with Quadratic Term_2_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4100>>
Square Root with Quadratic Term_2_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4c10>>
Square Root with Quadratic Term_2_116,log(x)/4,tensor(0.),0
Square Root with Quadratic Term_2_117,exp(2*x + 1),tensor(0.0427),-501.1106091382212
Square Root with Quadratic Term_2_118,cosh(x + 2),tensor(0.0779),-138.96491030766325
Square Root with Quadratic Term_2_119,(2*x - 5)/x,tensor(0.0019),-273541.13920898596
Square Root with Quadratic Term_2_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981a8fd0>>
Square Root with Quadratic Term_2_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25589a0>>
Square Root with Quadratic Term_2_122,log(x + 3),tensor(0.1305),-43.41834582891535
Square Root with Quadratic Term_2_123,2*x + sinh(x),tensor(0.0702),-174.6016158355799
Square Root with Quadratic Term_2_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc135790>>
Square Root with Quadratic Term_2_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc135f40>>
Square Root with Quadratic Term_2_126,x**3/6,tensor(0.0841),-117.62266548377741
Square Root with Quadratic Term_2_127,x*(x**3 + x),tensor(0.0978),-84.19577191401022
Square Root with Quadratic Term_3_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998393100>>
Square Root with Quadratic Term_3_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81b0310>>
Square Root with Quadratic Term_3_2,3*x*exp(x),tensor(0.0748),-152.1730885727237
Square Root with Quadratic Term_3_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81b0820>>
Square Root with Quadratic Term_3_4,-x*exp(x),tensor(0.0734),-158.36997015510963
Square Root with Quadratic Term_3_5,x + tan(2*x + 1),tensor(0.0070),-20008.88488852561
Square Root with Quadratic Term_3_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815ba30>>
Square Root with Quadratic Term_3_7,x**2*(x**5 + x),tensor(0.0818),-125.05457217608412
Square Root with Quadratic Term_3_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120130>>
Square Root with Quadratic Term_3_9,x*(x + cos(x) + 1),tensor(0.0861),-111.59005506850316
Square Root with Quadratic Term_3_10,x**3*cos(2),tensor(0.0842),-117.40779458408721
Square Root with Quadratic Term_3_11,x*log(x**4 + x),tensor(0.),0
Square Root with Quadratic Term_3_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81b0430>>
Square Root with Quadratic Term_3_13,x + (x**2 + x)**3,tensor(0.0782),-137.9296432828087
Square Root with Quadratic Term_3_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a39a60>>
Square Root with Quadratic Term_3_15,2*x**3*asin(x),tensor(0.0945),-90.71516180495328
Square Root with Quadratic Term_3_16,x*(x + sin(x)),tensor(0.1015),-77.34627984918257
Square Root with Quadratic Term_3_17,-1/x,tensor(0.0094),-11106.603210944495
Square Root with Quadratic Term_3_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc05ad60>>
Square Root with Quadratic Term_3_19,x**2*(4 - x),tensor(0.1105),-63.80131849216835
Square Root with Quadratic Term_3_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e010f0d0>>
Square Root with Quadratic Term_3_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699812d700>>
